 12 27 44,53	 28 11 45,33	 12 27 42,41	 28 11 37,00	-00 00 07,85	 00 01 01,74	-8.4	-27.8	 12 27 32,27	 28 11 02,35	-00 01 55,21	 12 25 37,06	01 48 32	HR4737	12 26 56.3	+28 16 06	19,6	77	1010,8	22,9	61	15,4	0,0	---		26
 09 13 20,26	-69 44 41,60	 09 13 14,95	-69 44 35,89	-00 00 07,85	 00 01 01,74	5.2	-27.9	 09 13 34,18	-69 45 30,66	 03 14 45,54	 12 28 19,72	01 51 14	HR3685	09 13 12.0	-69 43 02	18,3	79	1010,8	22,9	61	14,6	0,0	---		26
 10 54 15,05	 34 08 32,22	 10 54 12,72	 34 08 22,70	-00 00 07,85	 00 01 01,74	-9.5	-29.3	 10 54 02,17	 34 07 37,14	 01 37 09,62	 12 31 11,79	01 54 06	HR4247	10 53 18.7	+34 12 54	18,3	79	1010,8	22,9	61	14,6	0,0	---		26
 07 57 12,25	-53 00 01,83	 07 57 13,28	-52 59 49,79	-00 00 07,85	 00 01 01,74	11.9	8.7	 07 57 15,32	-53 01 06,41	 04 38 48,21	 12 36 03,53	01 58 57	HR3117	07 56 46.7	-52 58 56	18,3	79	1010,8	22,9	61	14,6	0,0	---		26
 11 33 40,55	-31 54 51,74	 11 33 40,56	-31 54 48,40	-00 00 07,85	 00 01 01,74	4.7	0.0	 11 33 36,99	-31 55 23,00	 01 05 23,98	 12 39 00,97	02 01 54	HR4450	11 33 00.1	-31 51 28	17,6	82	1011,2	22,9	60	14,5	0,0	---		26
 13 55 25,03	 18 19 59,54	 13 55 24,68	 18 19 50,10	-00 00 07,85	 00 01 01,74	-9.5	-4.6	 13 55 14,00	 18 19 26,10	-01 13 50,27	 12 41 23,74	02 04 16	HR5235	13 54 41.1	+18 23 52	17,6	82	1011,2	22,9	60	14,5	0,0	---		26
 10 33 37,81	 09 14 53,19	 10 33 36,68	 09 14 44,90	-00 00 07,85	 00 01 01,74	-8.4	-13.2	 10 33 28,86	 09 14 02,77	 02 09 47,78	 12 43 16,64	02 06 09	HR4133	10 32 48.7	+09 18 24	17,6	82	1011,2	22,9	60	14,5	0,0	---		26
 13 46 26,12	-33 05 45,11	 13 46 26,16	-33 05 37,20	-00 00 07,85	 00 01 01,74	8.4	1.5	 13 46 21,47	-33 06 04,35	-01 00 36,34	 12 45 45,13	02 08 37	HR5168	13 45 41.2	-33 02 38	17,6	82	1011,2	22,9	60	14,5	0,0	---		26
 09 53 43,28	 25 56 45,23	 09 53 42,18	 25 56 42,90	-00 00 07,85	 00 01 01,74	-2.4	-15.2	 09 53 32,22	 25 55 44,14	 02 54 43,95	 12 48 16,16	02 11 07	HR3905	09 52 45.8	+26 00 25	17,3	83	1011,5	22,9	60	14,4	0,0	---		26
 13 25 56,61	-11 13 09,08	 13 25 56,33	-11 13 10,70	-00 00 07,85	 00 01 01,74	0.0	-4.7	 13 25 49,41	-11 13 36,97	-00 18 00,83	 13 07 48,58	02 30 37	HR5056	13 25 11.6	-11 09 41	16,9	87	1011,8	22,9	60	14,7	0,0	---		26
 13 50 37,47	-18 11 17,27	 13 50 37,87	-18 11 15,80	-00 00 07,85	 00 01 01,74	1.8	4.6	 13 50 30,98	-18 11 41,29	-00 40 22,73	 13 10 08,25	02 32 56	HR5196	13 49 52.3	-18 08 03	16,9	87	1011,8	22,9	60	14,7	0,0	---		26
